clave_entidad,entidad,periodo,anio,numero_adolescentes_embarazadas_continuan_estudios
1,Aguascalientes,febrero-julio,2024,7
2,Baja California,febrero-julio,2024,4
3,Baja California Sur,febrero-julio,2024,2
4,Campeche,febrero-julio,2024,7
7,Chiapas,febrero-julio,2024,7
8,Chihuahua,febrero-julio,2024,30
9,Ciudad de México,febrero-julio,2024,65
5,Coahuila,febrero-julio,2024,51
6,Colima,febrero-julio,2024,2
10,Durango,febrero-julio,2024,7
11,Guanajuato,febrero-julio,2024,20
12,Guerrero,febrero-julio,2024,8
13,Hidalgo,febrero-julio,2024,9
14,Jalisco,febrero-julio,2024,9
15,México,febrero-julio,2024,294
16,Michoacán,febrero-julio,2024,2
17,Morelos,febrero-julio,2024,6
18,Nayarit,febrero-julio,2024,5
19,Nuevo León,febrero-julio,2024,82
20,Oaxaca,febrero-julio,2024,17
21,Puebla,febrero-julio,2024,6
22,Querétaro,febrero-julio,2024,0
23,Quintana Roo,febrero-julio,2024,40
24,San Luis Potosi,febrero-julio,2024,18
25,Sinaloa,febrero-julio,2024,27
26,Sonora,febrero-julio,2024,0
27,Tabasco,febrero-julio,2024,9
28,Tamaulipas,febrero-julio,2024,20
29,Tlaxcala,febrero-julio,2024,6
30,Veracruz,febrero-julio,2024,0
31,Yucatán,febrero-julio,2024,4
32,Zacatecas,febrero-julio,2024,4
